StarID ProperName X Y Z
0 Sol 0 0 0
1  282.43485 0.00449 5.36884
2  43.04329 0.00285 -15.24144
3  277.11358 0.02422 223.27753
4  79.62896 0.01164 -101.53103
5  264.58918 0.04601 -226.71007
6  53.06535 0.0168 3.66089
7  52.95794 0.02084 19.31343
8  174.01562 0.08288 84.44669
