StarID,ProperName,X,Y,Z
389,,153.80805,3.25327,-87.51208
390,,131.58412,2.78329,158.16317
391,,103.5299,2.19026,99.89806
392,,82.62459,1.75456,47.87949
393,,201.88915,4.29338,258.30276
394,,30.25602,0.64525,20.92343
395,,274.15265,5.84877,-159.95989
396,,291.36969,6.22851,-182.08555
397,,164.0997,3.50989,211.97808
398,,245.02328,5.25669,400.43823
399,,167.33438,3.60166,83.9926
400,,23.51364,0.50636,10.11415
401,,159.95384,3.44614,237.70575
402,,70.75978,1.52538,150.28053
403,,82.16848,1.77456,-26.98775
404,,404.33567,8.74857,502.66212
405,,48.07825,1.04035,49.23435
406,,534.70823,11.61065,269.28907
407,,15.32175,0.33279,-42.59632
408,,121.91215,2.64954,191.17873
409,,39.32304,0.85534,-111.02441
410,,116.04005,2.54157,60.87189
411,,8350309.71711,183171.6012,5498979.52284
412,,64.35934,1.41281,148.17074
413,,40.88294,0.89945,-29.72704
414,,256.36427,5.64871,-441.08236
415,,117.74127,2.59749,19.24341
416,,114.50085,2.52721,2.07474
417,,143.84423,3.17842,-1.26291
418,,106.64238,2.37452,194.94737
419,,143.80737,3.20998,-132.12156
420,,25.66624,0.57423,-33.03912
421,,149.05093,3.34797,366.06097
422,,158.91727,3.57466,92.99563
423,,32.01959,0.7213,-62.4405
424,,105.72001,2.38205,106.59583
425,,507.7202,11.44588,-487.87553
426,,129.95487,2.93035,76.05411
427,,89.82649,2.02641,3.76157
428,,8.01507,0.18081,8.24041
429,,134.525,3.03622,-85.61977
430,,328.84987,7.47404,241.65916
431,,78.56845,1.7887,56.20413
432,,9983610.01875,228636.01541,524648.99296
433,,634.72203,14.55336,-327.29225
434,,63.61982,1.45881,-73.5735
435,,6.03769,0.13959,-14.82196
436,,208.40911,4.81867,235.43771
437,,452.14559,10.47274,-14.1666
438,,67.82546,1.57798,175.679
439,,181.46875,4.22257,-146.24288
440,,215.0905,5.00677,-83.9492
441,,39.19512,0.91269,-3.91866
442,,3.46535,0.08073,-2.64555
443,,389.66247,9.09173,-670.07903
444,,57.08265,1.33538,-87.7747
445,,584.60916,13.69438,90.40121
446,,36.91203,0.86491,-194.54715
447,,147.81422,3.46462,9.31805
448,,84.2934,1.97874,-55.80671
449,,266.12384,6.27131,144.79687
450,,210.85624,4.97338,61.79203
451,,356.21173,8.4298,140.85362
452,,214.50794,5.07808,-14.44567
453,,203.40637,4.82921,-52.32422
454,,37.30928,0.88885,152.99436
455,,166.01685,3.95714,-126.51851
456,,364.42005,8.69487,-338.58684
457,,322.73022,7.70489,-43.44836
458,,25.91404,0.6189,-47.20098
459,,41.68663,0.99678,17.03781
460,,74.97897,1.79456,50.78992
461,,49.75567,1.19829,-8.43343
462,,8176129.36306,197429.84051,-5754296.66392
463,,1130.79975,27.31782,-705.92026
464,,60.15447,1.46061,246.57119
465,,170.239,4.1471,227.3964
466,,97.89511,2.38641,-107.12542
467,,112.92445,2.75776,-206.40684
468,,271.99741,6.65237,-339.12986
469,,1545.40283,37.876,1461.92706
470,,208.51892,5.13946,-337.5853
471,,132.52031,3.27459,194.39898
472,,8.18796,0.20265,8.42611
473,,101.91631,2.52673,100.07419
474,,24.96941,0.62041,40.46297
475,,111.14173,2.76424,26.47826
476,,154.93726,3.86487,-89.33897
477,,421.70175,10.52174,-174.81322
478,,515.48382,12.86974,-141.69817
479,,682.90694,17.05008,327.51858
480,,109.98706,2.75257,-82.24209
481,,159.93536,4.00662,51.48997
482,,38.69161,0.97198,246.35478
483,,9413499.40151,236914.88829,-3365991.734
484,,259.79616,6.56606,279.5389
485,,97.75473,2.48647,-128.92264
486,,17.41526,0.4446,87.48847
487,,46.15518,1.17844,-117.51834
488,,75.4731,1.93166,3.64573
489,,30.01122,0.76942,-26.79755
490,,334.20239,8.57611,74.28327
491,,36.18379,0.93392,11.92535
492,,148.9413,3.84432,-38.34509
493,,27.81484,0.7185,-71.77807
494,,36.87725,0.95375,12.04043
495,,171.21561,4.44243,78.30311
496,,91.85878,2.38565,108.05546
497,,166.68422,4.34384,165.23076
498,,664.95022,17.36188,-937.39973
499,,428.60664,11.22437,-487.67471
500,,185.05185,4.84752,-150.64053
501,,303.57421,7.96125,163.35659
502,,312.28871,8.20153,92.25189
503,,160.17762,4.23178,74.43449
504,,5540.43278,146.44943,11204.1134
505,,449.42798,11.88358,602.65773
506,,57.10421,1.51266,-552.61088
507,,232.03094,6.1478,197.67263
